# Variables: r z F
# Resolution: nr=61, nz=61
0.0 0.0 0.0
0.0 0.0005 0.0
0.0 0.001 0.0
0.0 0.0015 0.0
0.0 0.002 0.0
0.0 0.0025 0.0
0.0 0.003 0.0
0.0 0.0035 0.0
0.0 0.004 0.0
0.0 0.0045 0.0
0.0 0.005 0.0
0.0 0.0055 0.0
0.0 0.006 0.0
0.0 0.0065 0.0
0.0 0.007 0.0
0.0 0.0075 0.0
0.0 0.008 0.0
0.0 0.0085 0.0
0.0 0.009 0.0
0.0 0.0095 0.0
0.0 0.01 0.0
0.0 0.0105 0.0
0.0 0.011 0.0
0.0 0.0115 0.0
0.0 0.012 0.0
0.0 0.0125 0.0
0.0 0.013 0.0
0.0 0.0135 0.0
0.0 0.014 0.0
0.0 0.0145 0.0
0.0 0.015 0.0
0.0 0.0155 0.0
0.0 0.016 0.0
0.0 0.0165 0.0
0.0 0.017 0.0
0.0 0.0175 0.0
0.0 0.018 0.0
0.0 0.0185 0.0
0.0 0.019 0.0
0.0 0.0195 0.0
0.0 0.02 0.0
0.0 0.0205 0.0
0.0 0.021 0.0
0.0 0.0215 0.0
0.0 0.022 0.0
0.0 0.0225 0.0
0.0 0.023 0.0
0.0 0.0235 0.0
0.0 0.024 0.0
0.0 0.0245 0.0
0.0 0.025 0.0
0.0 0.0255 0.0
0.0 0.026 0.0
0.0 0.0265 0.0
0.0 0.027 0.0
0.0 0.0275 0.0
0.0 0.028 0.0
0.0 0.0285 0.0
0.0 0.029 0.0
0.0 0.0295 0.0
0.0 0.03 0.0
0.0005 0.0 0.027359012235
0.0005 0.0005 0.0273510614175
0.0005 0.001 0.0273272069806
0.0005 0.0015 0.0272874429986
0.0005 0.002 0.0272317596878
0.0005 0.0025 0.0271601435454
0.0005 0.003 0.027072577544
0.0005 0.0035 0.0269690413826
0.0005 0.004 0.0268495117942
0.0005 0.0045 0.0267139629099
0.0005 0.005 0.0265623666815
0.0005 0.0055 0.026394693361
0.0005 0.006 0.0262109120394
0.0005 0.0065 0.0260109912437
0.0005 0.007 0.0257948995937
0.0005 0.0075 0.0255626065175
0.0005 0.008 0.0253140830267
0.0005 0.0085 0.0250493025508
0.0005 0.009 0.0247682418292
0.0005 0.0095 0.0244708818621
0.0005 0.01 0.024157208917
0.0005 0.0105 0.0238272155895
0.0005 0.011 0.0234809019173
0.0005 0.0115 0.0231182765427
0.0005 0.012 0.0227393579214
0.0005 0.0125 0.0223441755728
0.0005 0.013 0.0219327713671
0.0005 0.0135 0.021505200842
0.0005 0.014 0.0210615345451
0.0005 0.0145 0.0206018593905
0.0005 0.015 0.0201262800243
0.0005 0.0155 0.019634920188
0.0005 0.016 0.0191279240685
0.0005 0.0165 0.0186054576254
0.0005 0.017 0.018067709881
0.0005 0.0175 0.0175148941613
0.0005 0.018 0.0169472492743
0.0005 0.0185 0.0163650406096
0.0005 0.019 0.0157685611464
0.0005 0.0195 0.0151581323535
0.0005 0.02 0.014534104966
0.0005 0.0205 0.0138968596254
0.0005 0.021 0.0132468073652
0.0005 0.0215 0.0125843899317
0.0005 0.022 0.0119100799243
0.0005 0.0225 0.0112243807443
0.0005 0.023 0.0105278263429
0.0005 0.0235 0.00982098075817
0.0005 0.024 0.00910443743647
0.0005 0.0245 0.00837881833307
0.0005 0.025 0.00764477279168
0.0005 0.0255 0.00690297620709
0.0005 0.026 0.00615412850122
0.0005 0.0265 0.00539895263458
0.0005 0.027 0.00463819493848
0.0005 0.0275 0.00387264193795
0.0005 0.028 0.00310327462361
0.0005 0.0285 0.00233255747183
0.0005 0.029 0.00157508013675
0.0005 0.0295 0.000945223520992
0.0005 0.03 0.00137872163293
0.001 0.0 0.054729950199
0.001 0.0005 0.0547140500558
0.001 0.001 0.0546663456366
0.001 0.0015 0.0545868250278
0.001 0.002 0.0544754685577
0.001 0.0025 0.0543322490748
0.001 0.003 0.0541571323361
0.001 0.0035 0.0539500775092
0.001 0.004 0.0537110377865
0.001 0.0045 0.0534399611142
0.001 0.005 0.0531367910357
0.001 0.0055 0.0528014676512
0.001 0.006 0.0524339286946
0.001 0.0065 0.052034110728
0.001 0.007 0.0516019504537
0.001 0.0075 0.0511373861468
0.001 0.008 0.050640359205
0.001 0.0085 0.0501108158172
0.001 0.009 0.0495487087497
0.001 0.0095 0.0489539992478
0.001 0.01 0.04832665905
0.001 0.0105 0.0476666725123
0.001 0.011 0.0469740388373
0.001 0.0115 0.0462487744026
0.001 0.012 0.0454909151814
0.001 0.0125 0.0447005192466
0.001 0.013 0.0438776693494
0.001 0.0135 0.0430224755587
0.001 0.014 0.04213507795
0.001 0.0145 0.0412156493267
0.001 0.015 0.0402643979575
0.001 0.0155 0.0392815703106
0.001 0.016 0.0382674537636
0.001 0.0165 0.0372223792661
0.001 0.017 0.0361467239301
0.001 0.0175 0.0350409135228
0.001 0.018 0.0339054248328
0.001 0.0185 0.0327407878819
0.001 0.019 0.0315475879514
0.001 0.0195 0.0303264673941
0.001 0.02 0.0290781271995
0.001 0.0205 0.0278033282832
0.001 0.021 0.0265028924709
0.001 0.0215 0.0251777031484
0.001 0.022 0.023828705551
0.001 0.0225 0.0224569066701
0.001 0.023 0.0210633747538
0.001 0.0235 0.0196492383873
0.001 0.024 0.0182156851373
0.001 0.0245 0.0167639597552
0.001 0.025 0.0152953619336
0.001 0.0255 0.0138112436192
0.001 0.026 0.0123130058837
0.001 0.0265 0.0108020953109
0.001 0.027 0.00927999946153
0.001 0.0275 0.00774823766637
0.001 0.028 0.00620831611519
0.001 0.0285 0.00466139198161
0.001 0.029 0.00310554988446
0.001 0.0295 0.00151348261759
0.001 0.03 -0.000350552540982
0.0015 0.0 0.0821247371287
0.0015 0.0005 0.0821008906608
0.0015 0.001 0.0820293452207
0.0015 0.0015 0.0819100827818
0.0015 0.002 0.0817430735771
0.0015 0.0025 0.081528276514
0.0015 0.003 0.0812656397585
0.0015 0.0035 0.0809551014856
0.0015 0.004 0.080596590801
0.0015 0.0045 0.080190028833
0.0015 0.005 0.0797353299973
0.0015 0.0055 0.0792324034349
0.0015 0.006 0.0786811546272
0.0015 0.0065 0.0780814871862
0.0015 0.007 0.0774333048238
0.0015 0.0075 0.0767365134988
0.0015 0.008 0.0759910237432
0.0015 0.0085 0.0751967531659
0.0015 0.009 0.0743536291336
0.0015 0.0095 0.0734615916248
0.0015 0.01 0.0725205962557
0.0015 0.0105 0.0715306174697
0.0015 0.011 0.0704916518872
0.0015 0.0115 0.0694037218042
0.0015 0.012 0.0682668788312
0.0015 0.0125 0.0670812076597
0.0015 0.013 0.0658468299396
0.0015 0.0135 0.0645639082523
0.0015 0.014 0.0632326501574
0.0015 0.0145 0.0618533122915
0.0015 0.015 0.0604262044918
0.0015 0.0155 0.0589516939177
0.0015 0.016 0.0574302091365
0.0015 0.0165 0.0558622441405
0.0015 0.017 0.0542483622579
0.0015 0.0175 0.0525891999175
0.0015 0.018 0.0508854702255
0.0015 0.0185 0.0491379663109
0.0015 0.019 0.0473475643939
0.0015 0.0195 0.0455152265323
0.0015 0.02 0.0436420029979
0.0015 0.0205 0.0417290342387
0.0015 0.021 0.0397775523808
0.0015 0.0215 0.0377888822283
0.0015 0.022 0.0357644417201
0.0015 0.0225 0.0337057418084
0.0015 0.023 0.0316143857271
0.0015 0.0235 0.0294920676227
0.0015 0.024 0.0273405705304
0.0015 0.0245 0.0251617636804
0.0015 0.025 0.0229575991305
0.0015 0.0255 0.0207301077283
0.0015 0.026 0.0184813944051
0.0015 0.0265 0.0162136327476
0.0015 0.027 0.0139290582544
0.0015 0.0275 0.0116299551406
0.0015 0.028 0.00931859393067
0.0015 0.0285 0.0069967659869
0.0015 0.029 0.00466199128989
0.0015 0.0295 0.00227626220377
0.0015 0.03 -0.000491806388461
0.002 0.0 0.109555291247
0.002 0.0005 0.109523502999
0.002 0.001 0.109428130109
0.002 0.0015 0.109269148252
0.002 0.002 0.109046517254
0.002 0.0025 0.108760181643
0.002 0.003 0.108410071431
0.002 0.0035 0.10799610311
0.002 0.004 0.107518180881
0.002 0.0045 0.106976198105
0.002 0.005 0.106370038993
0.002 0.0055 0.105699580515
0.002 0.006 0.104964694557
0.002 0.0065 0.104165250305
0.002 0.007 0.10330111687
0.002 0.0075 0.10237216615
0.002 0.008 0.101378275932
0.002 0.0085 0.100319333235
0.002 0.009 0.0991952378839
0.002 0.0095 0.0980059063209
0.002 0.01 0.0967512756454
0.002 0.0105 0.0954313078749
0.002 0.011 0.0940459944209
0.002 0.0115 0.0925953607659
0.002 0.012 0.0910794713305
0.002 0.0125 0.0894984345122
0.002 0.013 0.0878524078762
0.002 0.0135 0.0861416034761
0.002 0.014 0.0843662932765
