# x z lx ly lz
0 0 -0.000192685 -0.000148181 -8.50684e-05
0 0.5 6.44823e-05 9.65769e-05 -0.000276757
0 1 0.000333293 0.000340577 -0.000460212
0 1.5 0.000236774 0.000270881 -0.000984434
0 2 -2.30441e-05 2.44768e-05 -0.00166243
0 2.5 -0.000138066 -8.32447e-05 -0.00211142
0 3 -4.16318e-05 6.22489e-05 -0.00228523
0 3.5 6.44233e-05 0.00023621 -0.00252593
0 4 6.74175e-05 0.000145115 -0.00316919
0 4.5 7.69513e-05 -1.7336e-06 -0.00382836
0 5 0.000143193 -0.000244262 -0.0042371
0 5.5 -4.76504e-06 -0.000144321 -0.00464216
0 6 5.5832e-05 -3.58931e-06 -0.00525929
0 6.5 0.000105795 9.41521e-05 -0.00595739
0 7 6.60388e-05 0.00011704 -0.00655976
0 7.5 -4.10679e-06 -4.18564e-05 -0.00730391
0 8 3.20679e-05 -0.000288742 -0.00808207
0 8.5 -3.344e-05 -0.000147548 -0.00889249
0 9 8.75736e-05 -0.00014106 -0.00988869
0 9.5 7.33601e-05 -3.39858e-05 -0.0109304
0 10 9.41739e-05 -1.47658e-05 -0.0120946
0 10.5 6.47868e-05 3.24317e-06 -0.0133111
0 11 4.89373e-05 -2.35768e-05 -0.0147487
0 11.5 0.000106259 -3.48236e-05 -0.0162741
0 12 7.76251e-05 0.000142104 -0.0180057
0 12.5 -0.000245544 0.000275724 -0.019695
0 13 -0.000124035 0.000153041 -0.0216585
0 13.5 -0.000188135 2.90921e-05 -0.0239088
0 14 4.09923e-05 -6.70202e-05 -0.0264779
0 14.5 -4.20472e-06 -6.00512e-05 -0.0292815
0 15 -7.20145e-05 -0.000239379 -0.0323448
0 15.5 0.000136971 4.83921e-05 -0.0353685
0 16 0.000111096 3.87914e-06 -0.0391649
0 16.5 -0.000266593 0.00011259 -0.0433047
0 17 -3.36628e-05 5.22389e-05 -0.0474978
0 17.5 0.000196906 -8.05399e-06 -0.0522092
0 18 0.000255334 4.35623e-05 -0.0573412
0 18.5 0.000123577 1.1761e-05 -0.0629166
0 19 -6.80329e-06 -1.99777e-05 -0.0690625
0 19.5 -0.000258102 0.000300843 -0.0762152
0 20 -0.000399882 0.000482806 -0.0840966
0 20.5 3.01906e-05 8.96185e-05 -0.0921628
0 21 0.000193959 -8.78879e-05 -0.10109
0 21.5 -5.66805e-05 -0.000128005 -0.11131
0 22 -0.00013145 -0.000225085 -0.122152
0 22.5 1.58816e-05 0.000250965 -0.133227
0 23 0.000218523 0.000324971 -0.145919
0 23.5 0.000281674 -0.000176696 -0.159968
0 24 -0.000390763 -0.000434104 -0.174244
0 24.5 -0.000315714 -0.000885508 -0.189874
0 25 0.000912582 0.00042143 -0.207254
0 25.5 -0.000595658 0.000864929 -0.226552
0 26 -0.000164835 -0.000805649 -0.245909
0 26.5 -0.000263158 0.000485745 -0.267295
0 27 -0.000312004 0.000351779 -0.289963
0 27.5 -0.00022718 -0.000740161 -0.314977
0 28 0.000495373 -0.000606369 -0.343469
0 28.5 0.000250737 0.000938993 -0.37182
0 29 0.00105083 0.000121235 -0.402528
0 29.5 0.000687701 7.21648e-05 -0.42985
0 30 -2.0275e-05 -0.000363867 -0.450106
0.5 0 1.77112e-05 0.0266694 -7.39806e-05
0.5 0.5 9.55392e-05 0.026803 -0.000364278
0.5 1 0.000432789 0.0270434 -0.000501452
0.5 1.5 0.00044013 0.0268007 -0.000843188
0.5 2 0.000197418 0.026515 -0.00148506
0.5 2.5 -3.22121e-05 0.0262594 -0.00214134
0.5 3 -3.12816e-05 0.0262897 -0.00244035
0.5 3.5 8.45914e-05 0.0263983 -0.00271735
0.5 4 0.000180727 0.0264641 -0.00314258
0.5 4.5 6.39072e-05 0.0263143 -0.00374878
0.5 5 0.000111515 0.0259256 -0.00422422
0.5 5.5 7.80168e-05 0.0257234 -0.00472328
0.5 6 4.22987e-05 0.02563 -0.00532383
0.5 6.5 -7.94069e-05 0.0253726 -0.00599864
0.5 7 -0.000175693 0.0252806 -0.00658488
0.5 7.5 -0.000193644 0.0248962 -0.00729425
0.5 8 -0.00020616 0.0243766 -0.00815952
0.5 8.5 -0.000268813 0.0243539 -0.00899309
0.5 9 -0.00038498 0.0241731 -0.00998019
0.5 9.5 -0.000264222 0.0240684 -0.0110995
0.5 10 -0.000385257 0.0236206 -0.0121278
0.5 10.5 -0.000646577 0.0232989 -0.0133728
0.5 11 -0.000556931 0.0228565 -0.0147524
0.5 11.5 -0.000581756 0.0225991 -0.0162638
0.5 12 -0.000649954 0.0220822 -0.017982
0.5 12.5 -0.000920177 0.0218376 -0.0197263
0.5 13 -0.000769179 0.0216059 -0.0217369
0.5 13.5 -0.000964254 0.0208601 -0.0241298
0.5 14 -0.000903183 0.0203684 -0.0264295
0.5 14.5 -0.0011696 0.0197333 -0.029262
0.5 15 -0.00149601 0.0192318 -0.0325751
0.5 15.5 -0.0015571 0.0191121 -0.0356784
0.5 16 -0.0016574 0.018671 -0.0392586
0.5 16.5 -0.00156833 0.0181541 -0.0434428
0.5 17 -0.00173867 0.0175964 -0.0479658
0.5 17.5 -0.0014248 0.017241 -0.0525475
0.5 18 -0.00140121 0.0162489 -0.0574566
0.5 18.5 -0.00157551 0.0157264 -0.0629575
0.5 19 -0.00189371 0.0151959 -0.0691197
0.5 19.5 -0.00200107 0.0145125 -0.0763252
0.5 20 -0.00191519 0.0138973 -0.0841908
0.5 20.5 -0.00152042 0.0127536 -0.092435
0.5 21 -0.00145401 0.0126066 -0.101865
0.5 21.5 -0.0019647 0.0124342 -0.111781
0.5 22 -0.00208788 0.0110641 -0.122036
0.5 22.5 -0.00199418 0.0105839 -0.133419
0.5 23 -0.00172393 0.00990879 -0.145775
0.5 23.5 -0.00173643 0.00949355 -0.159231
0.5 24 -0.00232796 0.0080937 -0.174312
0.5 24.5 -0.00229952 0.00717737 -0.189858
0.5 25 -0.00130228 0.00759083 -0.207173
0.5 25.5 -0.00269829 0.00653996 -0.226799
0.5 26 -0.00237215 0.00463633 -0.24693
0.5 26.5 -0.00164797 0.00390959 -0.268653
0.5 27 -0.00224364 0.00352854 -0.290409
0.5 27.5 -0.00239899 0.0028415 -0.314921
0.5 28 -0.00172386 0.00217814 -0.343135
0.5 28.5 -0.00131795 0.00215543 -0.371501
0.5 29 -0.00097078 0.000601976 -0.402888
0.5 29.5 -0.000751334 -0.00068535 -0.430363
0.5 30 -0.00027452 -0.00152695 -0.449704
1 0 0.00021348 0.0534478 -3.64265e-05
1 0.5 0.000155766 0.0534952 -0.000405608
1 1 0.000483839 0.0537156 -0.000545716
1 1.5 0.000533958 0.0535376 -0.00086014
1 2 0.000380754 0.0532303 -0.00138657
1 2.5 0.000159666 0.0529163 -0.0020268
1 3 -4.34283e-05 0.0526303 -0.00258695
1 3.5 5.44553e-05 0.0527099 -0.00293586
1 4 0.000159858 0.0528328 -0.00330094
1 4.5 3.18363e-05 0.052416 -0.00389797
1 5 -4.1575e-05 0.0519962 -0.00441992
1 5.5 8.97726e-05 0.0514986 -0.00489803
1 6 -5.82289e-05 0.0510611 -0.00540845
1 6.5 -0.000328029 0.0506732 -0.00603544
1 7 -0.00040156 0.0502864 -0.00664526
1 7.5 -0.000449097 0.049841 -0.00737105
1 8 -0.000492904 0.0493057 -0.00822271
1 8.5 -0.000607742 0.0489035 -0.00904796
1 9 -0.000764478 0.0485543 -0.0100788
1 9.5 -0.000720183 0.0477385 -0.0111072
1 10 -0.000772666 0.0470267 -0.0122596
1 10.5 -0.000934974 0.0463198 -0.0134499
1 11 -0.00116684 0.0457371 -0.0147561
1 11.5 -0.00126075 0.0451457 -0.0163394
1 12 -0.00142383 0.0443687 -0.0180629
1 12.5 -0.00164648 0.0435527 -0.0197688
1 13 -0.00157001 0.0426315 -0.0219876
1 13.5 -0.00190221 0.0418409 -0.0244328
1 14 -0.00182606 0.0407719 -0.0266976
1 14.5 -0.00207537 0.0397099 -0.0293952
1 15 -0.00269128 0.0389212 -0.0326241
1 15.5 -0.00284146 0.0374635 -0.0357819
1 16 -0.0028636 0.0368867 -0.0393381
1 16.5 -0.00273286 0.0360179 -0.0433486
1 17 -0.00328771 0.0349632 -0.0480231
1 17.5 -0.00312718 0.0339003 -0.0527204
1 18 -0.00325356 0.032856 -0.0575892
1 18.5 -0.00326206 0.0314211 -0.0631744
1 19 -0.00356704 0.0302134 -0.0696003
1 19.5 -0.00341826 0.0291069 -0.0768179
1 20 -0.00388867 0.0274201 -0.0840218
1 20.5 -0.00382521 0.026064 -0.0924478
1 21 -0.00340902 0.0254617 -0.101118
1 21.5 -0.003736 0.0251105 -0.111165
1 22 -0.00472357 0.022878 -0.122118
1 22.5 -0.00422367 0.0208744 -0.133254
1 23 -0.00396134 0.0190438 -0.14586
1 23.5 -0.00374175 0.0182043 -0.159346
1 24 -0.00399617 0.0162751 -0.174715
1 24.5 -0.00396785 0.0155364 -0.189811
1 25 -0.00301077 0.0146373 -0.207289
1 25.5 -0.0031319 0.0124847 -0.226183
1 26 -0.00379024 0.0110615 -0.245777
1 26.5 -0.00301361 0.008826 -0.267894
1 27 -0.00316009 0.00762787 -0.290408
1 27.5 -0.00418315 0.00620359 -0.314651
1 28 -0.00364523 0.00515295 -0.343236
1 28.5 -0.00279802 0.00402009 -0.37204
1 29 -0.00240966 0.00217648 -0.403938
1 29.5 -0.00196092 0.000321776 -0.43105
1 30 -0.00354842 -0.00194633 -0.452016
1.5 0 0.000328029 0.0801189 4.62071e-05
1.5 0.5 0.000364618 0.0802139 -0.000283414
1.5 1 0.000595972 0.0804217 -0.000521321
1.5 1.5 0.000680294 0.0804106 -0.000889729
1.5 2 0.000608103 0.0800669 -0.00134975
1.5 2.5 0.000539204 0.0797442 -0.00187124
1.5 3 7.08339e-06 0.0793287 -0.00253885
1.5 3.5 -7.06218e-06 0.0793013 -0.00292024
1.5 4 0.000191879 0.0790167 -0.00340203
1.5 4.5 0.00023551 0.0784839 -0.00403982
1.5 5 -0.000480655 0.0778865 -0.00478749
1.5 5.5 -2.81195e-05 0.0772976 -0.00512405
1.5 6 6.17008e-05 0.0768054 -0.00560021
1.5 6.5 -0.000409102 0.0761693 -0.00610071
1.5 7 -0.000700824 0.0755518 -0.00669759
1.5 7.5 -0.000723087 0.0749321 -0.00741221
1.5 8 -0.000805172 0.074273 -0.00829128
1.5 8.5 -0.000929184 0.0735897 -0.00918578
1.5 9 -0.00107904 0.0726279 -0.010204
1.5 9.5 -0.001126 0.0716652 -0.0111691
1.5 10 -0.00137861 0.0705035 -0.0123316
1.5 10.5 -0.00161468 0.0698159 -0.0134658
1.5 11 -0.00173351 0.068864 -0.0148796
1.5 11.5 -0.00192219 0.0674984 -0.0164694
1.5 12 -0.00210967 0.0665534 -0.018149
1.5 12.5 -0.00225887 0.0653553 -0.0199766
1.5 13 -0.00251201 0.0638857 -0.0220615
1.5 13.5 -0.00266544 0.0627936 -0.0245445
1.5 14 -0.00283708 0.0611554 -0.0269556
1.5 14.5 -0.00299715 0.0597788 -0.0295625
1.5 15 -0.00356519 0.0585843 -0.0325496
1.5 15.5 -0.00404286 0.0571337 -0.0358136
1.5 16 -0.00404135 0.0552874 -0.0393602
1.5 16.5 -0.00392883 0.0539607 -0.0433876
1.5 17 -0.00419169 0.0523714 -0.047815
1.5 17.5 -0.00460087 0.0506846 -0.0528656
1.5 18 -0.00523904 0.0488906 -0.0578738
1.5 18.5 -0.00503447 0.0470029 -0.0635908
1.5 19 -0.00428946 0.0455092 -0.0702207
1.5 19.5 -0.00525775 0.0432414 -0.0767342
1.5 20 -0.00634265 0.0412452 -0.0838812
