# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
30 -75 10 -0.00864188 -0.000775135 -0.000184372 -0.254795 -0.0119104 -0.0171511 -0.00447063 0.00279034 0.037556 -1.58785e-06 -1.79131e-05 0.00103741 -2.06298e-05 0.000294867 -1.15169e-05
30 -74.5 10 -0.008954 -0.00116174 -0.000180348 -0.242819 -0.018886 -0.0156439 -0.00447488 0.00274399 0.037499 4.93463e-06 -1.81833e-05 0.000976817 -3.09008e-05 0.000286843 -1.263e-05
30 -74 10 -0.00930095 -0.00212845 -0.00020221 -0.231374 -0.0337711 -0.0145823 -0.00448847 0.00268681 0.0374037 1.32753e-05 -1.95314e-05 0.000878181 -5.45053e-05 0.000275896 -1.4788e-05
30 -73.5 10 -0.00958555 -0.00314946 -0.00020878 -0.219885 -0.0502529 -0.0132092 -0.00449003 0.00262424 0.0372999 2.19888e-05 -2.05014e-05 0.000783253 -7.82792e-05 0.000265207 -1.68415e-05
30 -73 10 -0.00984189 -0.00411189 -0.000204746 -0.208546 -0.0654904 -0.0116614 -0.00449113 0.00256307 0.0371911 3.02806e-05 -2.15655e-05 0.000690372 -9.89327e-05 0.000255286 -1.8606e-05
30 -72.5 10 -0.0100563 -0.00527727 -0.00016747 -0.197929 -0.0826965 -0.009957 -0.00451424 0.00249929 0.0370758 3.90282e-05 -2.34068e-05 0.000600003 -0.000122546 0.000245986 -2.05481e-05
30 -72 10 -0.0102754 -0.00634059 -0.000140822 -0.188972 -0.098492 -0.00860965 -0.00452241 0.00244346 0.0369687 4.54637e-05 -2.561e-05 0.000522404 -0.000142866 0.000239416 -2.22324e-05
30 -71.5 10 -0.0104518 -0.00742562 -0.000198921 -0.18085 -0.114808 -0.0084686 -0.00451205 0.00238523 0.036874 5.06554e-05 -2.48674e-05 0.000456047 -0.000162953 0.000234173 -2.40609e-05
30 -71 10 -0.0105138 -0.00840816 -0.000161506 -0.171984 -0.128207 -0.00702269 -0.00452229 0.00232806 0.0367732 5.54548e-05 -2.48869e-05 0.000390871 -0.000179553 0.000227095 -2.55555e-05
30 -70.5 10 -0.0106134 -0.00949576 -0.000149632 -0.164491 -0.14315 -0.00602473 -0.0045279 0.00227226 0.0366804 6.00344e-05 -2.45801e-05 0.000333092 -0.0001979 0.000222205 -2.72375e-05
