# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
30 -75 10 -7.10338 -0.337013 -0.632271 -10.3408 0.0115946 -0.973239 -0.00418385 0.0011671 0.0509623 0.00022163 -0.00127616 0.000243293 -0.00883812 0.183475 0.00174675
30 -74.5 10 -7.094 -0.518117 -0.621463 -8.73975 -0.0784697 -0.836642 -0.0039325 0.00105871 0.0488209 0.000565247 -0.00131603 -0.00273446 -0.0127617 0.162204 0.000999064
30 -74 10 -7.00806 -0.910869 -0.613893 -7.1672 -0.0871705 -0.707208 -0.00361236 0.00092474 0.0452266 0.00091343 -0.00129699 -0.0071783 -0.0204597 0.133537 -0.00019779
30 -73.5 10 -6.77448 -1.36189 -0.586594 -5.73695 -0.150679 -0.576081 -0.00322082 0.00079493 0.0415246 0.0013021 -0.00129487 -0.0111878 -0.0275728 0.109131 -0.00107341
30 -73 10 -6.47887 -1.76186 -0.546899 -4.39232 -0.197603 -0.44696 -0.00282746 0.00066306 0.0378015 0.00166633 -0.00130291 -0.0147279 -0.0319552 0.0905114 -0.0016127
30 -72.5 10 -6.08457 -2.20216 -0.492613 -3.24358 -0.159862 -0.355674 -0.002472 0.000508 0.0340954 0.00191649 -0.00131653 -0.017523 -0.0362502 0.0755774 -0.00197904
30 -72 10 -5.66662 -2.5896 -0.442364 -2.30047 -0.155256 -0.286467 -0.00216796 0.000375846 0.0308061 0.00210026 -0.00130687 -0.0195315 -0.0384757 0.0649964 -0.00220572
30 -71.5 10 -5.23367 -2.99007 -0.416274 -1.53236 -0.17392 -0.216227 -0.00185415 0.000305566 0.0280052 0.00225628 -0.00127723 -0.0209196 -0.040124 0.0573988 -0.00239683
30 -71 10 -4.7642 -3.28651 -0.357956 -0.882394 -0.0956548 -0.156691 -0.0016134 0.000212391 0.0253071 0.00236004 -0.00126436 -0.0219986 -0.0405949 0.0506822 -0.00248645
30 -70.5 10 -4.31174 -3.61195 -0.308632 -0.347532 -0.0390679 -0.107893 -0.00138026 0.000156716 0.0229432 0.00243438 -0.00122424 -0.0226619 -0.0410341 0.0456065 -0.0025703
30 -70 10 -3.86608 -3.91199 -0.26618 0.0908253 0.0529761 -0.0670992 -0.00115442 0.000124744 0.0206967 0.00248137 -0.0011763 -0.0231137 -0.0411177 0.0411275 -0.00261833
30 -69.5 10 -3.44611 -4.16834 -0.22538 0.439891 0.125279 -0.0364049 -0.00093584 6.47592e-05 0.018749 0.00250378 -0.00112348 -0.0232899 -0.0405482 0.037488 -0.00246597
30 -69 10 -3.05431 -4.40974 -0.186114 0.692239 0.247408 -0.0121535 -0.000782982 3.74247e-05 0.0169432 0.00252849 -0.00109519 -0.0233181 -0.0402454 0.0340033 -0.00247538
30 -68.5 10 -2.67243 -4.60562 -0.148853 0.883178 0.328445 0.011063 -0.000649891 3.76969e-05 0.0157519 0.00253262 -0.00104527 -0.0231454 -0.040066 0.0313311 -0.00242444
30 -68 10 -2.32909 -4.79427 -0.117541 1.02964 0.409989 0.0227378 -0.000514227 1.09639e-05 0.0145993 0.0025346 -0.00101664 -0.0228252 -0.0396633 0.0288115 -0.00228841
30 -67.5 10 -2.02549 -4.96565 -0.0831358 1.12357 0.570489 0.0275917 -0.000417525 -9.98728e-06 0.0132977 0.00249557 -0.000973701 -0.022576 -0.0394425 0.0262018 -0.00228538
30 -67 10 -1.7325 -5.1018 -0.056025 1.16747 0.665855 0.0376945 -0.00031968 -4.49341e-06 0.0125796 0.00248267 -0.000942995 -0.0221926 -0.0394601 0.0239074 -0.00218859
30 -66.5 10 -1.47433 -5.23931 -0.0264077 1.20165 0.762685 0.0435831 -0.000254683 7.32407e-06 0.0119685 0.00245794 -0.000898378 -0.0217836 -0.0396406 0.0219678 -0.00214966
30 -66 10 -1.24775 -5.32381 -0.000869539 1.21017 0.893195 0.042931 -0.00020222 -4.38286e-06 0.0111605 0.00242049 -0.000859717 -0.0213746 -0.0392356 0.0199483 -0.00213674
30 -65.5 10 -1.04754 -5.42982 0.0137616 1.17723 0.976295 0.044964 -0.000128158 5.98903e-06 0.0108132 0.00240865 -0.00082908 -0.0209884 -0.0395837 0.018071 -0.00201486
30 -65 10 -0.864038 -5.51254 0.0316965 1.13786 1.06494 0.0454175 -4.97944e-05 -7.52362e-07 0.0105414 0.00237757 -0.000795544 -0.0205577 -0.0399832 0.0163031 -0.00185552
30 -64.5 10 -0.718998 -5.56864 0.0426481 1.08466 1.17494 0.0444744 -2.87597e-05 2.02377e-05 0.0102437 0.00235964 -0.000777927 -0.0201735 -0.0403562 0.0146752 -0.00189547
30 -64 10 -0.591618 -5.60062 0.0494607 1.03285 1.29831 0.0402552 3.50934e-05 5.81868e-06 0.00984802 0.00232927 -0.000753519 -0.0198514 -0.0404491 0.0132126 -0.00180464
30 -63.5 10 -0.461582 -5.64386 0.0600313 0.98831 1.36961 0.0357614 8.59836e-05 -1.44646e-06 0.00968853 0.00229176 -0.000727946 -0.0195014 -0.040682 0.0119163 -0.00168615
30 -63 10 -0.356167 -5.70218 0.0697924 0.919592 1.42359 0.0323601 5.62262e-05 1.29611e-05 0.00985268 0.002276 -0.000705501 -0.019207 -0.0417514 0.0106247 -0.00178644
30 -62.5 10 -0.276504 -5.76219 0.0831509 0.851535 1.48683 0.0291931 8.19996e-05 3.68321e-05 0.00996681 0.00226881 -0.000686745 -0.0189839 -0.0428197 0.00949717 -0.00174791
30 -62 10 -0.19208 -5.77336 0.0884617 0.80406 1.54538 0.0287491 0.000141735 3.89425e-05 0.00988455 0.00226059 -0.000668595 -0.0187164 -0.0429876 0.00851262 -0.00161013
30 -61.5 10 -0.142423 -5.77936 0.0954433 0.735594 1.63547 0.0201772 5.85392e-05 6.63575e-05 0.00988117 0.00222952 -0.000643598 -0.0185534 -0.0437219 0.00755283 -0.00189544
30 -61 10 -0.0878581 -5.81282 0.108568 0.681599 1.67855 0.0250013 6.90857e-05 9.69969e-05 0.00994807 0.00223217 -0.00063536 -0.0183957 -0.0443495 0.00673791 -0.0018934
30 -60.5 10 -0.0503911 -5.82212 0.102599 0.624349 1.73097 0.0187644 9.23487e-05 8.35658e-05 0.00998583 0.002198 -0.00061886 -0.0182146 -0.0448322 0.00596309 -0.0018288
30 -60 10 -0.0581238 -5.83055 0.106397 0.537783 1.7779 0.0147017 6.48177e-05 0.000105818 0.0102005 0.00219885 -0.000609081 -0.0180876 -0.0458174 0.00517966 -0.00193256
30 -59.5 10 -0.0259045 -5.84254 0.117692 0.494452 1.81244 0.0172219 4.42249e-05 0.000115718 0.0103456 0.00218374 -0.000594806 -0.0180003 -0.0465361 0.00460555 -0.0019983
30 -59 10 0.0056394 -5.85826 0.105578 0.458107 1.82982 0.00440918 4.92199e-05 9.19481e-05 0.0104674 0.00218806 -0.000580895 -0.0178904 -0.0470319 0.00407577 -0.0019905
30 -58.5 10 0.0112626 -5.84594 0.0944533 0.411609 1.88288 -0.00439095 6.51861e-05 9.8776e-05 0.0104208 0.00217161 -0.000563067 -0.0178075 -0.0472304 0.0036045 -0.00196922
30 -58 10 0.00756339 -5.8512 0.0943937 0.363094 1.92511 -0.00465453 0.000108622 8.50963e-05 0.0105124 0.00215762 -0.000553622 -0.0178004 -0.0478941 0.00319196 -0.00185923
30 -57.5 10 0.0118408 -5.8565 0.106327 0.327245 1.94718 0.00117407 0.000104117 0.000107027 0.0106888 0.00215822 -0.00054662 -0.0177595 -0.0485954 0.00284938 -0.00188515
30 -57 10 0.0146621 -5.85594 0.109488 0.293357 1.96404 0.0016703 0.000108547 0.000112622 0.0108363 0.00216269 -0.000540647 -0.0177045 -0.0491201 0.00252517 -0.00188446
30 -56.5 10 0.0246186 -5.87207 0.102525 0.271517 1.97375 -0.00321059 7.24586e-05 0.000105301 0.0108898 0.00215245 -0.000520304 -0.0177045 -0.0494512 0.00226975 -0.0019808
30 -56 10 0.0293506 -5.88655 0.094369 0.250567 1.9979 -0.0104283 8.94251e-05 9.42933e-05 0.0109923 0.00215319 -0.000511497 -0.0177556 -0.0500974 0.00205616 -0.00195043
30 -55.5 10 0.0279602 -5.87788 0.0888697 0.230502 2.02775 -0.0152034 9.22828e-05 8.1832e-05 0.011068 0.00215892 -0.000501619 -0.0177782 -0.0505605 0.00188192 -0.00197434
30 -55 10 0.013925 -5.88081 0.0994105 0.203451 2.04416 -0.00859087 0.000105025 9.36948e-05 0.0110248 0.00215228 -0.000493565 -0.0177787 -0.0505953 0.00172776 -0.00194055
30 -54.5 10 0.0132721 -5.89721 0.103781 0.186968 2.05239 -0.00541968 0.000117246 0.000104874 0.0110693 0.00215316 -0.000487142 -0.0178049 -0.050917 0.00159127 -0.00190869
30 -54 10 0.00686675 -5.88073 0.0980357 0.168858 2.08038 -0.00674947 7.9748e-05 0.000110779 0.0111602 0.00215727 -0.000479816 -0.0178292 -0.0513679 0.00146361 -0.00204961
30 -53.5 10 0.00740465 -5.88575 0.104019 0.157981 2.08117 -0.00102469 5.03526e-05 0.000142712 0.0112225 0.00217528 -0.000474617 -0.0178316 -0.0515893 0.00136848 -0.00215234
30 -53 10 0.00719395 -5.89461 0.0894406 0.148901 2.09067 -0.0111397 2.80603e-05 0.000119394 0.0113177 0.00219761 -0.000468723 -0.0178693 -0.0520441 0.00127868 -0.002249
30 -52.5 10 0.00926523 -5.89923 0.0722245 0.141694 2.10969 -0.0211663 2.66259e-05 7.53777e-05 0.0113505 0.00217439 -0.000447004 -0.0179368 -0.0524075 0.00119614 -0.00224643
30 -52 10 0.00877843 -5.91714 0.0873559 0.131491 2.10068 -0.011009 7.22188e-05 0.00011444 0.01146 0.00216596 -0.000443037 -0.0179491 -0.0527654 0.001121 -0.00208996
30 -51.5 10 -0.0121292 -5.90341 0.0883444 0.111388 2.12813 -0.00932747 6.29383e-05 0.000126253 0.0114177 0.00215825 -0.000441486 -0.017983 -0.0528445 0.00106351 -0.00213611
30 -51 10 -0.0241443 -5.91182 0.0781232 0.100391 2.12545 -0.0129135 1.43835e-05 0.000106678 0.0116098 0.00218799 -0.00043913 -0.018004 -0.0534577 0.00103031 -0.00230604
30 -50.5 10 -0.0216148 -5.94394 0.0795559 0.0962141 2.11999 -0.0113136 7.93887e-06 0.000104942 0.0115947 0.00218043 -0.000417831 -0.0180633 -0.0536126 0.00098226 -0.00230888
30 -50 10 -0.0384261 -5.93334 0.0808107 0.0782902 2.14012 -0.0100158 4.30688e-05 0.000111671 0.0115432 0.0021879 -0.000405088 -0.0180927 -0.0536116 0.000920803 -0.00223141
30 -49.5 10 -0.0419471 -5.93988 0.0782058 0.0738568 2.14351 -0.0113606 6.51287e-05 0.000118423 0.011628 0.00217963 -0.000401814 -0.0181149 -0.0539562 0.000903002 -0.00215993
30 -49 10 -0.0404652 -5.94288 0.0694554 0.0769019 2.15575 -0.0161021 6.80226e-05 0.000111683 0.011664 0.00216684 -0.00040232 -0.0181574 -0.0542375 0.000919081 -0.00215119
30 -48.5 10 -0.045511 -5.95543 0.0757878 0.0665109 2.15363 -0.0119985 3.08477e-05 0.000123646 0.011687 0.00218439 -0.000400928 -0.0181807 -0.054385 0.000858616 -0.00227647
30 -48 10 -0.0408907 -5.96935 0.0815198 0.0645781 2.13995 -0.00626987 2.92207e-05 0.000132373 0.0118367 0.00218529 -0.000387924 -0.0181721 -0.0547789 0.000823104 -0.00226622
30 -47.5 10 -0.029164 -5.97962 0.0757037 0.0702046 2.14591 -0.00959565 2.6934e-05 0.00010392 0.0118935 0.00218084 -0.000376051 -0.0182255 -0.0551202 0.000803743 -0.00227413
30 -47 10 -0.0339699 -5.96992 0.0813485 0.0661949 2.15507 -0.00519307 1.13456e-05 0.000117331 0.0118511 0.00219526 -0.000373699 -0.0182265 -0.0550205 0.000799302 -0.00234597
30 -46.5 10 -0.0499456 -5.9858 0.0852463 0.0507607 2.1666 -0.00133392 2.42338e-05 0.000123392 0.0117955 0.00218694 -0.000374401 -0.0182954 -0.0551275 0.000758483 -0.00230917
30 -46 10 -0.0339141 -6.00771 0.0811789 0.0584202 2.14149 -0.00223673 3.52957e-05 0.000130744 0.0118929 0.00220006 -0.000361352 -0.0182739 -0.0552968 0.000734423 -0.00226245
30 -45.5 10 -0.047096 -6.00233 0.0815289 0.0484408 2.17001 -0.00186546 5.5246e-05 0.00013058 0.011902 0.00219438 -0.000357056 -0.0183398 -0.0556242 0.000724669 -0.00222684
30 -45 10 -0.0475796 -5.97092 0.0696506 0.0461123 2.20107 -0.00723105 7.82529e-05 0.000103855 0.0116742 0.00218181 -0.000344985 -0.0183396 -0.0550411 0.000695405 -0.00217796
30 -44.5 10 -0.0391441 -5.98163 0.0653009 0.0470781 2.20066 -0.0097833 7.46219e-05 9.73744e-05 0.0116907 0.0021939 -0.000334273 -0.0183497 -0.0551603 0.000652449 -0.00220061
30 -44 10 -0.0318073 -6.01767 0.0706381 0.0469896 2.16817 -0.00704365 4.84297e-05 0.000116542 0.0119407 0.00220529 -0.00033644 -0.0183414 -0.0558164 0.000614772 -0.00225476
30 -43.5 10 -0.0293769 -6.00768 0.0724348 0.0469443 2.18695 -0.00451527 7.07564e-05 0.000135691 0.0119553 0.00220007 -0.00033754 -0.0184011 -0.0560385 0.000605113 -0.0022031
30 -43 10 -0.0551115 -6.03612 0.0790578 0.0277779 2.17321 0.00239145 4.04091e-05 0.000159371 0.0119498 0.00217914 -0.000322089 -0.0184041 -0.056069 0.000589102 -0.00225477
30 -42.5 10 -0.055795 -6.02663 0.0574693 0.0268849 2.19972 -0.00888692 3.84246e-05 9.67076e-05 0.0118321 0.00217174 -0.000311109 -0.0184219 -0.0559194 0.000569175 -0.00227971
30 -42 10 -0.03663 -6.02035 0.0627312 0.0344029 2.19272 -0.00897125 5.22313e-05 0.000101757 0.0119729 0.00217644 -0.000309729 -0.0184097 -0.0562286 0.000527833 -0.00223613
30 -41.5 10 -0.0379749 -6.02551 0.0716906 0.0347673 2.19175 0.00045868 4.03815e-05 0.000141891 0.0119242 0.00219849 -0.000306372 -0.0184141 -0.0561092 0.000548465 -0.00229563
30 -41 10 -0.0254004 -6.04274 0.0673657 0.0417486 2.19128 -0.000770669 4.58231e-05 0.000136773 0.0119761 0.00219286 -0.000301948 -0.0184448 -0.0563977 0.000537819 -0.00227218
30 -40.5 10 -0.025004 -6.05684 0.0635086 0.03808 2.1888 -0.00315647 5.44936e-05 0.000115072 0.0119529 0.00219719 -0.000294352 -0.0184646 -0.0564102 0.000499264 -0.00224661
30 -40 10 -0.0419506 -6.05263 0.0629798 0.0197695 2.19129 -0.00400227 5.08438e-05 9.30157e-05 0.011948 0.00219673 -0.000288464 -0.0184501 -0.0563767 0.000430193 -0.00225777
30 -39.5 10 -0.040728 -6.05519 0.0605634 0.0181596 2.1976 -0.00655359 6.02752e-05 8.94417e-05 0.0119785 0.00218466 -0.000292222 -0.0184773 -0.0565726 0.000406367 -0.00222248
30 -39 10 -0.0285275 -6.05032 0.0641179 0.0223701 2.20243 -0.00489992 2.90915e-05 0.000102031 0.0119838 0.0021916 -0.000282212 -0.0184666 -0.0565926 0.000373048 -0.00233003
30 -38.5 10 -0.0305289 -6.05652 0.0615367 0.0188183 2.20212 -0.00485626 2.643e-05 0.000112549 0.0119713 0.00218835 -0.000279751 -0.0184632 -0.0565855 0.000351958 -0.00233382
30 -38 10 -0.035446 -6.06682 0.0532693 0.0147131 2.18442 -0.00597688 4.47541e-05 0.000125007 0.0120827 0.00218951 -0.000277105 -0.0184335 -0.0567891 0.000344397 -0.0022599
30 -37.5 10 -0.0294747 -6.05676 0.0496835 0.0151619 2.2021 -0.011502 1.43057e-05 0.000108759 0.0119512 0.00217747 -0.000269376 -0.0184517 -0.0565133 0.000303844 -0.00235783
30 -37 10 -0.0253968 -6.05194 0.0533105 0.0173129 2.20465 -0.00967705 6.3712e-05 0.00012261 0.0120227 0.00215747 -0.000266031 -0.018451 -0.0567239 0.000303649 -0.0021893
30 -36.5 10 -0.0373265 -6.06924 0.0593933 0.00851783 2.19876 -0.00440434 2.34621e-05 0.000128492 0.0120769 0.00218378 -0.000272017 -0.0184619 -0.0569498 0.00029991 -0.00233315
30 -36 10 -0.0295886 -6.06677 0.0547796 0.00992794 2.20221 -0.0069276 7.22072e-06 0.000111911 0.0120165 0.00218824 -0.000265942 -0.018472 -0.0567942 0.000262088 -0.00239055
30 -35.5 10 -0.0337789 -6.07272 0.0546927 0.00227118 2.19854 -0.00567182 2.09608e-05 0.000112366 0.0120146 0.00218842 -0.00026035 -0.0184652 -0.0567828 0.000218256 -0.00234421
30 -35 10 -0.0423258 -6.09768 0.0585617 -0.00912166 2.17578 -0.00043129 1.54588e-05 0.000139243 0.0122064 0.00219256 -0.000256927 -0.0184621 -0.0573041 0.000174099 -0.0023399
30 -34.5 10 -0.0457642 -6.09453 0.0647322 -0.0165881 2.18013 0.00454343 9.43374e-06 0.000167321 0.0121749 0.00216448 -0.000253406 -0.0184517 -0.0572186 0.000130771 -0.0023324
30 -34 10 -0.0415907 -6.08658 0.0541704 -0.0137754 2.1691 -0.00306651 3.11797e-05 0.000125898 0.0122214 0.00215611 -0.000247653 -0.0183917 -0.0571436 0.000125009 -0.00224443
30 -33.5 10 -0.0286841 -6.09657 0.0529444 -0.00574205 2.1805 -0.00345504 6.41024e-06 0.000119668 0.0122039 0.0021709 -0.000244667 -0.0184393 -0.057308 0.000118509 -0.00234829
30 -33 10 -0.0210851 -6.09398 0.04648 0.00150499 2.18751 -0.00825488 -1.17203e-05 0.00010867 0.0122059 0.00217661 -0.000247714 -0.0184519 -0.0573766 0.00013331 -0.00241773
30 -32.5 10 -0.0203773 -6.08753 0.0554934 -0.000533821 2.17523 -0.00302311 -2.49004e-05 0.000138773 0.0120813 0.0021596 -0.000246316 -0.0183898 -0.0567777 0.000114228 -0.00242595
30 -32 10 -0.0282444 -6.05794 0.0695302 -0.00985526 2.20236 0.00919516 9.42028e-05 0.000163519 0.0118392 0.00217017 -0.000241123 -0.0183695 -0.0560932 8.993e-05 -0.00210553
30 -31.5 10 -0.0250065 -6.08827 0.0580324 -0.0105788 2.18366 -0.000176958 7.9258e-05 0.000142732 0.0119455 0.00215109 -0.000241142 -0.0183889 -0.0564456 5.42014e-05 -0.00210786
30 -31 10 -0.0219808 -6.10982 0.0482953 -0.0175166 2.17795 -0.00693004 4.75975e-05 0.000129235 0.0120979 0.00215001 -0.000243729 -0.0184281 -0.0570298 -3.47383e-05 -0.00219518
30 -30.5 10 -0.0192033 -6.10831 0.0540476 -0.018489 2.16574 -0.00310864 2.00762e-05 0.000146945 0.0122313 0.00213688 -0.000243707 -0.0183994 -0.0572847 -5.54316e-05 -0.00225181
30 -30 10 -0.0243181 -6.08975 0.0679237 -0.0185289 2.18192 0.00472702 4.41445e-05 0.000170731 0.0121542 0.00211976 -0.000245114 -0.0184023 -0.0570894 -1.61937e-05 -0.00217797
