# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
34 -37.5 0 -0.0778032 -42.2362 0.100069 -0.574603 -38.1917 1.29951 0.0404696 0.000237105 0.033006 0.00354668 0.000148915 -0.00948565 -0.515997 0.00288808 0.922315
34 -37.5 0.5 0.0499884 -42.5371 0.171 0.0724241 -25.5423 0.106336 0.0342106 -6.52589e-05 0.0320278 -0.0011672 -0.000108594 -0.0122262 -0.525032 0.00250517 0.712698
34 -37.5 1 -0.0339482 -40.5307 0.0326884 -0.0479134 -15.7291 -0.0320585 0.0241441 -0.00010771 0.0315751 -0.00619387 -7.5849e-05 -0.0140128 -0.529677 0.00069416 0.440582
34 -37.5 1.5 -0.078717 -37.5456 -0.00970079 -0.189932 -8.50306 -0.0506757 0.0146422 -0.000108422 0.0312597 -0.00936454 -4.8979e-05 -0.0158327 -0.519521 -0.000106972 0.235071
34 -37.5 2 -0.114934 -33.5461 0.0175712 -0.0589374 -5.19458 -0.111034 0.00805516 -6.27593e-05 0.0306859 -0.00903947 -3.63633e-05 -0.0163808 -0.472152 0.00185332 0.111636
34 -37.5 2.5 -0.146647 -30.5441 0.0269286 -0.185282 -2.82366 -0.210079 0.00372816 -0.000167 0.0294525 -0.00781158 -0.000115744 -0.0176112 -0.424947 0.00139877 0.0459311
34 -37.5 3 -0.100694 -27.9218 0.169949 0.15072 -1.25665 -0.131042 0.00123723 -0.000140874 0.0280773 -0.00596157 -0.000151383 -0.0186176 -0.380285 0.00331237 0.0135228
34 -37.5 3.5 -0.0810463 -26.0843 0.109238 -0.0298742 -0.735324 0.0588633 -0.000253344 1.64577e-06 0.0262292 -0.00429331 -6.06242e-05 -0.019331 -0.334976 0.000633944 -0.0048818
34 -37.5 4 -0.0838814 -24.7869 0.0652143 -0.203757 -0.776382 0.135938 -0.000994172 5.54074e-05 0.0249738 -0.00293163 -1.57625e-05 -0.0195645 -0.301918 -0.00117746 -0.01346
34 -37.5 4.5 -0.02779 -23.9647 -0.000897804 -0.193947 -1.24252 -0.163806 -0.00134843 -0.000183694 0.0248429 -0.00182189 -0.000174929 -0.0190753 -0.28584 -0.00135478 -0.0172697
34 -37.5 5 0.0537705 -23.3848 0.0870165 0.0653046 -2.56861 -0.0681554 -0.0013553 -4.95226e-05 0.0254327 -0.00105108 -0.000173201 -0.0179401 -0.274333 -0.000121127 -0.0172036
34 -37.5 5.5 0.128731 -23.4192 0.21467 0.17289 -2.52425 0.0492438 -0.000631805 7.16876e-05 0.0256238 -0.000507934 -0.000181343 -0.0176992 -0.27771 -0.000199612 -0.00805032
34 -37.5 6 0.112554 -23.3292 0.234343 0.188043 -2.58872 0.0686724 -0.000318322 0.000105595 0.0254001 -0.000162826 -0.000165257 -0.0175433 -0.273581 0.000177111 -0.00393344
34 -37.5 6.5 -0.0143841 -23.1825 0.129049 0.313284 -2.73706 -0.0119813 -0.000377631 6.21157e-05 0.0250593 8.32375e-05 -0.000105161 -0.0174302 -0.266619 0.00288566 -0.00428021
34 -37.5 7 0.0504152 -23.2334 0.0415855 0.183835 -2.92013 -0.146651 -0.000185763 -1.88394e-06 0.0252736 0.000219006 -0.000120826 -0.0174656 -0.268104 0.000948387 -0.00184935
34 -37.5 7.5 -0.000581538 -23.2499 0.102931 0.157322 -2.72312 -0.132667 -8.29646e-05 7.38035e-05 0.0249685 0.000292874 -0.000150213 -0.0176884 -0.266187 0.00137495 -0.00057753
34 -37.5 8 -0.241122 -23.0659 0.346847 -0.0426639 -3.15136 0.213887 -0.000301894 0.000336403 0.0243388 0.000289009 -0.000130738 -0.0176358 -0.252955 0.00253665 -0.00306412
34 -37.5 8.5 -0.154495 -23.3447 0.208515 0.0278743 -2.88199 -0.0141511 1.02493e-05 0.000165944 0.0246626 0.000402842 -0.000194637 -0.0178464 -0.262172 0.00215207 0.000684595
34 -37.5 9 -0.0465985 -23.6718 0.185119 -0.0152241 -2.81055 0.0436652 -4.28773e-05 0.000190652 0.0245262 0.000409401 -0.000201153 -0.0184462 -0.264381 0.000435998 6.49198e-05
34 -37.5 9.5 0.0386634 -23.9171 0.226689 0.0329308 -2.76327 0.0859992 -0.000134772 0.000260187 0.0245111 0.000436058 -0.000219125 -0.018864 -0.267073 -0.000159763 -0.00100778
34 -37.5 10 -0.109677 -23.9682 0.236537 0.17893 -3.64278 -0.0097213 -0.000178466 0.000202241 0.0256096 0.000415138 -0.000258622 -0.0176547 -0.274778 0.00296075 -0.00141686
34 -37.5 10.5 -0.0408489 -24.129 0.144307 0.167414 -3.58865 -0.0954309 -0.000136156 0.000128593 0.025817 0.000432535 -0.0002456 -0.0178659 -0.279433 0.00199234 -0.000889732
34 -37.5 11 0.0652942 -24.3018 0.0328045 0.0680956 -3.44307 -0.119765 3.20023e-05 0.000109863 0.0258211 0.000586485 -0.000221029 -0.0183774 -0.282128 -0.00025187 0.00139457
34 -37.5 11.5 0.0265721 -24.4899 0.306235 -0.0245214 -3.60113 0.154645 8.31239e-06 0.000460885 0.0262703 0.000720346 -0.000149458 -0.018344 -0.288708 -0.000516967 0.00140677
34 -37.5 12 0.0240398 -24.834 0.320084 -0.0784536 -2.89256 0.191044 0.00010602 0.000402807 0.025836 0.000683514 -9.40886e-05 -0.0195427 -0.292597 -0.000994885 0.00231354
34 -37.5 12.5 -0.0202571 -25.2384 0.309412 -0.165964 -2.53103 0.0708345 0.000193528 0.000329619 0.0257804 0.000737821 -0.000135428 -0.0204214 -0.299531 -0.00137742 0.00338379
