# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
-35 -74 10 -0.62942 1.61371 0.318882 -1.30557 5.29521 0.744374 0.00498966 0.00104602 0.0513024 -0.00112979 -0.00171597 0.00214442 0.0475429 0.0179203 -0.000243721
-34.5 -74 10 -0.945165 1.68344 0.391215 -1.84456 4.08653 0.787252 0.00484514 0.00107806 0.0508042 -0.0011378 -0.00156918 0.000780793 0.0447652 0.0252292 -0.000815675
-34 -74 10 -1.66044 1.74064 0.402106 -3.03395 3.17949 0.724838 0.00467222 0.00104788 0.0500782 -0.00113063 -0.00152515 -0.00114476 0.0421062 0.0403689 -0.000825263
-33.5 -74 10 -2.53674 1.64843 0.459653 -4.23821 2.31353 0.753331 0.00449947 0.00103061 0.049221 -0.0011306 -0.00140497 -0.00288726 0.0375212 0.0569204 -0.000730637
-33 -74 10 -3.3449 1.59529 0.492532 -5.08925 1.74601 0.747704 0.0043375 0.00100613 0.0484797 -0.00113708 -0.00138873 -0.00421052 0.0352651 0.0710087 -0.000616015
-32.5 -74 10 -4.0685 1.50433 0.523607 -5.72222 1.26562 0.743617 0.00418423 0.00098813 0.047675 -0.0011278 -0.00137769 -0.00527902 0.0327723 0.082555 -0.000501923
-32 -74 10 -4.72607 1.39111 0.55785 -6.20375 0.922913 0.744099 0.00404459 0.000977443 0.0470352 -0.00109264 -0.00132331 -0.0059477 0.0301908 0.0934184 -0.000514019
-31.5 -74 10 -5.39042 1.27534 0.578573 -6.60697 0.665253 0.740073 0.00393165 0.000956732 0.0464755 -0.00107834 -0.00135538 -0.00643397 0.0277206 0.104745 -0.000249526
-31 -74 10 -5.99652 1.14562 0.592481 -6.87344 0.390159 0.735371 0.00383041 0.000966707 0.045882 -0.00101995 -0.00134463 -0.00683613 0.025156 0.114832 -0.000272456
-30.5 -74 10 -6.53529 1.04241 0.608938 -7.04468 0.218867 0.705722 0.00371121 0.000984363 0.045463 -0.000989793 -0.00128722 -0.00719821 0.0230623 0.123983 -0.000508489
-30 -74 10 -7.00315 0.937994 0.606025 -7.15945 0.121193 0.658289 0.00354278 0.000879818 0.0451553 -0.00100573 -0.00133218 -0.00723753 0.020911 0.132949 8.74965e-05
-29.5 -74 10 -7.42883 0.814069 0.612954 -7.21368 0.0143214 0.636164 0.0034379 0.000888996 0.0449109 -0.000971259 -0.00130163 -0.00728362 0.0183697 0.141292 2.9279e-07
-29 -74 10 -7.81924 0.699318 0.622149 -7.26535 -0.0825282 0.615488 0.00335928 0.000940926 0.0448296 -0.000927838 -0.00124345 -0.00723096 0.0160634 0.149758 -0.00037449
-28.5 -74 10 -8.16522 0.627387 0.626346 -7.19874 -0.132389 0.611399 0.00327817 0.000934324 0.0446222 -0.000875777 -0.00125547 -0.00731998 0.0145734 0.156586 -0.000381884
-28 -74 10 -8.4588 0.542402 0.61861 -7.12359 -0.17644 0.58331 0.00314541 0.00088777 0.0442878 -0.000874325 -0.00130948 -0.00730188 0.0127624 0.162021 -2.08064e-05
-27.5 -74 10 -8.71044 0.46488 0.60628 -7.10552 -0.235232 0.565681 0.00304319 0.000886098 0.0442726 -0.000861604 -0.0013261 -0.00712357 0.0112351 0.168188 4.34751e-05
-27 -74 10 -8.97244 0.396844 0.619559 -7.05162 -0.246815 0.612098 0.00304068 0.000936867 0.0442725 -0.000747355 -0.00125339 -0.00728378 0.00977688 0.173648 -0.000479333
-26.5 -74 10 -9.1443 0.335708 0.602913 -6.98028 -0.300972 0.595164 0.0029779 0.000867439 0.044234 -0.000695367 -0.00130776 -0.00716919 0.00863137 0.177914 -6.30257e-06
-26 -74 10 -9.32481 0.282951 0.595228 -6.84052 -0.281151 0.570134 0.00286383 0.000839507 0.044105 -0.000716357 -0.00134777 -0.0072873 0.00739853 0.181359 0.000189743
-25.5 -74 10 -9.47425 0.23603 0.588486 -6.80951 -0.246093 0.540669 0.0027985 0.000934363 0.0443793 -0.000690749 -0.00127421 -0.00692955 0.00615961 0.187274 -0.000503077
-25 -74 10 -9.61551 0.203397 0.567495 -6.69569 -0.19044 0.477641 0.00264852 0.000881945 0.0443127 -0.000723336 -0.00132746 -0.00709306 0.0052487 0.189877 -0.000134275
-24.5 -74 10 -9.68978 0.162526 0.558376 -6.63238 -0.195327 0.459572 0.00258381 0.000862779 0.0443654 -0.000681157 -0.00134621 -0.00690588 0.00434817 0.192609 7.73398e-06
-24 -74 10 -9.79137 0.132935 0.549691 -6.54533 -0.184134 0.430833 0.00251235 0.000886423 0.0444268 -0.000671693 -0.00133774 -0.00696634 0.00363884 0.195247 -0.000190511
-23.5 -74 10 -9.87054 0.106786 0.535295 -6.48422 -0.180413 0.425669 0.00246534 0.000870763 0.0445502 -0.000620404 -0.00132542 -0.00688447 0.00304873 0.198075 -0.000187902
-23 -74 10 -9.92725 0.0906473 0.52356 -6.40386 -0.159498 0.41709 0.00242136 0.000927929 0.0446013 -0.000591225 -0.00125682 -0.00683336 0.00258564 0.200015 -0.000738548
-22.5 -74 10 -9.9737 0.0615308 0.506468 -6.33868 -0.184633 0.366334 0.00227315 0.000973852 0.0447649 -0.000632605 -0.00125646 -0.00677017 0.00198574 0.202239 -0.00100264
-22 -74 10 -10.0064 0.0446075 0.492647 -6.27986 -0.149965 0.356567 0.00220579 0.00094851 0.0448255 -0.000609522 -0.00128456 -0.00673722 0.00150033 0.203552 -0.00080706
-21.5 -74 10 -10.0378 0.0367975 0.476603 -6.19922 -0.122955 0.356785 0.00214411 0.000957722 0.044872 -0.000575348 -0.00128916 -0.00673346 0.00124129 0.204744 -0.000885628
-21 -74 10 -10.0763 0.0276812 0.460266 -6.2135 -0.092077 0.333746 0.00204591 0.000999457 0.0451506 -0.000575172 -0.00129721 -0.00662234 0.000916256 0.207276 -0.00106009
-20.5 -74 10 -10.1183 0.0210617 0.449243 -6.17334 -0.0754005 0.344103 0.00202008 0.000913577 0.0452244 -0.000517281 -0.00134981 -0.00672069 0.000756649 0.208416 -0.000496274
-20 -74 10 -10.1389 0.0144353 0.435931 -6.11057 -0.0527263 0.330057 0.00197098 0.000905542 0.0452872 -0.000491245 -0.00134831 -0.00676774 0.000530419 0.209253 -0.000498314
-19.5 -74 10 -10.1578 0.000618834 0.425376 -6.10354 -0.0815203 0.318187 0.00190152 0.000924747 0.0455769 -0.000493556 -0.00135051 -0.00658809 0.000300808 0.211701 -0.000595956
-19 -74 10 -10.1815 -0.00612152 0.415629 -6.0873 -0.105621 0.327132 0.00185182 0.00105222 0.0454884 -0.000480533 -0.00124386 -0.00680469 0.000204918 0.211166 -0.00159044
-18.5 -74 10 -10.19 -0.00471837 0.400071 -6.03999 -0.0780935 0.300272 0.00177521 0.00102449 0.045555 -0.000480006 -0.00128777 -0.00686199 0.000148873 0.211662 -0.00134522
-18 -74 10 -10.2024 -0.00121139 0.38524 -5.99989 -0.0310824 0.276026 0.00169936 0.000984087 0.0456892 -0.000482238 -0.00136256 -0.00687056 7.75989e-05 0.212718 -0.000938877
-17.5 -74 10 -10.2011 -0.011261 0.371223 -5.96792 -0.0717697 0.254778 0.00161138 0.000987983 0.0458343 -0.000483223 -0.00133325 -0.00681321 -2.7118e-05 0.213687 -0.00106914
-17 -74 10 -10.1985 -0.00776533 0.356534 -5.93848 -0.0205335 0.255262 0.00159831 0.000986142 0.0457658 -0.00042689 -0.00133262 -0.00682194 -0.000113366 0.213347 -0.0010699
-16.5 -74 10 -10.2277 -0.0135868 0.349119 -5.97715 -0.0424448 0.27214 0.0015791 0.000967934 0.046119 -0.000382114 -0.00136183 -0.00669088 -0.000154967 0.216072 -0.000877299
-16 -74 10 -10.2361 -0.0199839 0.344842 -6.04667 -0.0965619 0.287527 0.00156821 0.000945967 0.0463185 -0.00032316 -0.00139282 -0.00655648 -0.000109128 0.217463 -0.000630478
-15.5 -74 10 -10.2135 -0.00903189 0.324951 -6.01096 -0.0610919 0.236405 0.0014419 0.000984188 0.0463876 -0.000387797 -0.00134433 -0.00648846 -1.22911e-05 0.217578 -0.000991011
-15 -74 10 -10.2424 -0.0163014 0.308241 -5.93711 -0.0661339 0.204148 0.00135869 0.000985218 0.046162 -0.000400827 -0.0013783 -0.00689471 -0.000159419 0.216106 -0.000956112
-14.5 -74 10 -10.2064 -0.00607468 0.297352 -5.94161 -0.0137536 0.230224 0.00136461 0.000945778 0.0463779 -0.000309348 -0.0013532 -0.00660482 -8.02897e-05 0.217221 -0.000804376
-14 -74 10 -10.2326 -0.00328304 0.281573 -5.93633 0.0115072 0.191244 0.00124146 0.000877433 0.0462581 -0.000351991 -0.00139785 -0.00683546 -0.000105128 0.216523 -0.000336132
-13.5 -74 10 -10.2625 -0.00611449 0.263881 -5.92084 -0.0398556 0.153113 0.00115735 0.000931782 0.0461 -0.000367564 -0.00139714 -0.00715922 -1.42508e-05 0.215481 -0.000648854
-13 -74 10 -10.2716 -0.00395969 0.251045 -5.95372 -0.0342478 0.148023 0.00112988 0.000977517 0.0463878 -0.000333213 -0.00137315 -0.00698563 6.70923e-06 0.21756 -0.00093611
-12.5 -74 10 -10.2806 -0.000217797 0.239519 -5.99003 0.0083727 0.162235 0.00111795 0.000946674 0.0467259 -0.00028276 -0.00137274 -0.00673472 -3.53024e-05 0.220124 -0.000753498
-12 -74 10 -10.2803 0.00155139 0.235518 -5.96982 -0.0234287 0.169317 0.00107865 0.00103255 0.0467765 -0.000265589 -0.00134927 -0.00677408 0.000108273 0.220323 -0.00128396
-11.5 -74 10 -10.2667 -0.0020147 0.226439 -5.96592 0.031704 0.174837 0.00105504 0.00101986 0.0467888 -0.000229462 -0.00132191 -0.00673374 -0.000153785 0.220196 -0.00128741
-11 -74 10 -10.2777 -0.000756455 0.215152 -5.91662 0.023615 0.16565 0.00100388 0.00101925 0.046579 -0.000222118 -0.00133667 -0.00697682 -9.89332e-05 0.218813 -0.00128048
-10.5 -74 10 -10.2994 -0.0036612 0.206786 -5.95307 -0.000210704 0.16917 0.000969844 0.0010984 0.0467752 -0.000195771 -0.00128454 -0.00689407 -8.98142e-05 0.220441 -0.00183116
-10 -74 10 -10.2935 -0.00409906 0.196433 -5.92052 0.0147359 0.146581 0.00088224 0.00109565 0.0467272 -0.000217193 -0.00129932 -0.00695174 -0.000159372 0.219985 -0.00178931
-9.5 -74 10 -10.3038 0.00133105 0.188726 -5.93088 0.0313456 0.155962 0.000837137 0.000977049 0.0467057 -0.00020986 -0.00139716 -0.00705797 -6.27802e-05 0.219755 -0.000887723
-9 -74 10 -10.3087 0.00438281 0.183437 -5.96471 0.0312268 0.181613 0.000818269 0.000970302 0.0467971 -0.000170959 -0.00137007 -0.00704336 2.79967e-05 0.220262 -0.000914364
-8.5 -74 10 -10.3176 -0.0074213 0.162584 -5.96193 -0.0263578 0.118815 0.000706857 0.00102019 0.0467702 -0.000205074 -0.00134357 -0.00710281 -8.30553e-05 0.22015 -0.00125787
-8 -74 10 -10.3372 0.000677577 0.148322 -5.95768 -0.00409366 0.0934673 0.000648392 0.00104188 0.0469245 -0.000211481 -0.00135832 -0.00712599 1.66956e-05 0.221346 -0.00133954
-7.5 -74 10 -10.3421 0.0046048 0.141471 -5.90162 0.00295556 0.102177 0.00063125 0.00100704 0.0469207 -0.000179008 -0.00139364 -0.00720048 9.7355e-05 0.221418 -0.00109628
-7 -74 10 -10.3466 0.00267323 0.127789 -5.96772 -0.0200655 0.0967685 0.000587059 0.000962235 0.0470545 -0.000151009 -0.00137773 -0.0070207 0.00013851 0.222509 -0.0008693
-6.5 -74 10 -10.3581 0.000774789 0.124148 -5.97265 -0.041743 0.1013 0.000579798 0.00102123 0.0471838 -0.000131531 -0.00137768 -0.00695314 0.000169789 0.223633 -0.00117778
-6 -74 10 -10.3635 0.00374477 0.114672 -5.91509 -0.0123383 0.0859874 0.000503712 0.00104135 0.0471037 -0.000153177 -0.00137047 -0.00711787 0.000131322 0.22305 -0.00134469
-5.5 -74 10 -10.3534 0.00339802 0.103385 -5.89465 0.000102242 0.0741324 0.000439154 0.00103637 0.0469892 -0.000149547 -0.00133506 -0.00718848 7.53812e-05 0.22208 -0.00143085
-5 -74 10 -10.3391 0.00224829 0.0945879 -5.96431 -0.0204368 0.0742986 0.000439815 0.00098501 0.0470546 -9.41853e-05 -0.00138349 -0.00693655 0.000128587 0.222582 -0.000967719
-4.5 -74 10 -10.3636 0.00251461 0.08286 -5.93764 -0.022794 0.041118 0.000366337 0.000994335 0.0470739 -0.000125948 -0.00138957 -0.00708726 0.000127333 0.2229 -0.00102897
-4 -74 10 -10.3684 0.00187819 0.0721357 -5.91926 -0.0103912 0.0266313 0.000309191 0.00101464 0.0470213 -0.000129809 -0.00135236 -0.00720571 6.3007e-05 0.222451 -0.00125859
-3.5 -74 10 -10.3584 -0.00123425 0.0650985 -6.00328 0.0130462 0.0680586 0.000313423 0.00101216 0.0471457 -4.91959e-05 -0.0013454 -0.00698019 -6.17893e-05 0.223234 -0.00120327
-3 -74 10 -10.3666 -0.00740641 0.0592451 -5.96589 -0.0262174 0.0536615 0.000248563 0.000930646 0.047206 -6.88505e-05 -0.00139999 -0.00699583 -7.31129e-05 0.223821 -0.000647702
-2.5 -74 10 -10.3836 -0.0111423 0.0515732 -5.90321 -0.0453883 0.0495371 0.000223775 0.000941405 0.0470206 -4.88559e-05 -0.0014078 -0.00726727 -8.64419e-05 0.222676 -0.000732189
-2 -74 10 -10.3798 -0.0164721 0.0401528 -5.8942 -0.0714122 0.0246894 0.000218916 0.000989883 0.0469247 -8.53538e-06 -0.00137686 -0.00736354 -0.000126426 0.221837 -0.00107815
-1.5 -74 10 -10.3726 -0.000265207 0.0226209 -5.96483 -0.0102651 0.0119605 0.000137897 0.000946388 0.0472359 -8.51641e-06 -0.00144373 -0.00698566 2.75203e-05 0.224148 -0.000602478
-1 -74 10 -10.3795 -0.000396058 0.0158676 -5.95609 -0.0182677 0.003203 8.59698e-05 0.000973046 0.0471839 -1.6381e-05 -0.00139253 -0.00704728 4.95352e-05 0.223887 -0.000902996
-0.5 -74 10 -10.3696 0.000341626 0.00980775 -5.97151 0.00340711 0.00954576 4.40117e-05 0.00101343 0.0471222 -1.29959e-05 -0.0013904 -0.00707791 -2.34203e-06 0.223186 -0.00110301
0 -74 10 -10.3884 0.00568016 0.00217078 -5.94569 0.000260608 0.00902475 9.76148e-06 0.000980719 0.0470154 3.14443e-06 -0.00139611 -0.0073216 0.000137809 0.222442 -0.000943656
0.5 -74 10 -10.389 -0.00211451 -0.00544668 -5.94026 -0.0247098 0.00746849 -1.46944e-05 0.00093995 0.0469973 2.8162e-05 -0.00141052 -0.00732732 4.86671e-05 0.222365 -0.00069283
1 -74 10 -10.3868 -0.012466 -0.0128914 -5.92173 -0.0699259 0.000919576 -3.59162e-05 0.000943273 0.0470692 5.42844e-05 -0.0014107 -0.00724136 -3.3475e-05 0.223007 -0.000720217
1.5 -74 10 -10.3649 -0.00356472 -0.0260916 -5.97595 -0.0286008 -0.0160164 -0.000151878 0.000988523 0.047105 2.02714e-05 -0.00139493 -0.00701996 1.81555e-05 0.223145 -0.000954932
2 -74 10 -10.365 -0.00205051 -0.0350483 -5.96696 -0.011633 -0.0228955 -0.000207622 0.000983893 0.0471015 2.10914e-05 -0.0014013 -0.00704949 -6.08771e-06 0.223074 -0.000918362
2.5 -74 10 -10.3834 0.00437744 -0.0443349 -5.92358 0.00999413 -0.0416656 -0.000260303 0.000976862 0.0470397 5.48125e-06 -0.00138996 -0.00722829 5.95343e-05 0.222812 -0.00095425
3 -74 10 -10.3669 0.00616858 -0.0551046 -5.93166 0.0252701 -0.0385707 -0.000239161 0.00093761 0.0470939 6.85477e-05 -0.0014406 -0.00709111 5.37055e-05 0.223083 -0.000587618
3.5 -74 10 -10.3694 0.0092136 -0.0674092 -5.87427 0.0199029 -0.0425364 -0.000219769 0.000998313 0.0469252 0.000125984 -0.00132806 -0.00736316 0.000148303 0.221671 -0.00127551
4 -74 10 -10.369 -0.000353718 -0.0812834 -5.99572 0.00159025 -0.0596295 -0.000329873 0.00103976 0.047205 0.000113733 -0.00136587 -0.00699663 -1.23774e-05 0.223769 -0.00129606
4.5 -74 10 -10.3633 -0.00288751 -0.0896745 -5.97542 -0.0139348 -0.0722342 -0.00041382 0.00102065 0.0471336 0.000100699 -0.00137929 -0.00703309 -2.31e-05 0.223232 -0.00116761
5 -74 10 -10.3755 0.00353406 -0.0934164 -5.95099 0.0305112 -0.0651413 -0.000444093 0.000907627 0.047122 0.000112431 -0.0014459 -0.00714835 -3.04865e-05 0.223204 -0.000407191
5.5 -74 10 -10.3543 0.00660084 -0.10208 -5.94977 0.0260878 -0.0839088 -0.000467374 0.000938206 0.0470508 0.000129606 -0.00142014 -0.00702256 5.19906e-05 0.222715 -0.000632603
6 -74 10 -10.3316 0.00305721 -0.106673 -5.9589 0.0278776 -0.0579291 -0.000464029 0.00100539 0.0470319 0.000171343 -0.00135827 -0.00696293 -1.08789e-05 0.222232 -0.00114844
6.5 -74 10 -10.3322 -0.00199132 -0.12161 -5.94905 0.0192589 -0.0762187 -0.00054956 0.000940122 0.0469117 0.000158553 -0.00140312 -0.00709545 -0.000111341 0.221273 -0.000685237
7 -74 10 -10.3409 0.00121591 -0.118673 -5.95146 0.042824 -0.0379446 -0.000518432 0.00082826 0.046933 0.00021389 -0.00150205 -0.00718071 -0.000104571 0.221325 0.000182924
7.5 -74 10 -10.3399 -0.00289846 -0.133381 -5.9723 0.0140719 -0.0722168 -0.000597403 0.000954431 0.0469982 0.000199605 -0.00145261 -0.00701055 -0.000106237 0.222075 -0.000598911
8 -74 10 -10.3153 -0.000577674 -0.147431 -6.00654 0.00658349 -0.106492 -0.000683921 0.000976653 0.0470459 0.000171378 -0.00140235 -0.00680323 -3.86585e-05 0.222255 -0.000826331
8.5 -74 10 -10.3107 0.000837498 -0.159585 -5.96232 -0.00417609 -0.126315 -0.000732803 0.000935626 0.0467996 0.000181382 -0.00138772 -0.0069815 2.11852e-05 0.220503 -0.000685776
9 -74 10 -10.3131 0.00710523 -0.173242 -5.91771 0.043513 -0.156162 -0.000815612 0.000914896 0.046683 0.000153104 -0.00140969 -0.00712702 -2.00339e-05 0.219694 -0.000547057
9.5 -74 10 -10.3066 0.00864645 -0.184949 -5.92096 0.078451 -0.160732 -0.000876402 0.000980382 0.0469385 0.000155218 -0.00140397 -0.00692255 -9.0786e-05 0.221464 -0.000898101
10 -74 10 -10.2803 0.000301614 -0.195737 -5.96983 0.0243366 -0.150625 -0.000882488 0.00101422 0.0468895 0.000224371 -0.00139096 -0.00676807 -8.0781e-05 0.220887 -0.00106397
10.5 -74 10 -10.2887 0.00599193 -0.204781 -6.04926 0.0294138 -0.146946 -0.000912187 0.00101324 0.0470102 0.000253642 -0.00136722 -0.00661067 4.69112e-05 0.221916 -0.00107812
