# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
0 -75 19 -1.86445 0.00157386 -0.00182108 -4.45488 -0.0137781 0.00585714 3.50779e-05 0.0082318 0.0395266 5.83546e-05 0.0103593 0.00656723 -3.69796e-05 0.051476 -0.0307482
0 -74.5 19 -1.88578 0.00163256 -0.000396894 -4.33233 -0.0105 0.000488768 1.37232e-05 0.00854574 0.0390878 1.62217e-05 0.0107758 0.00568186 1.13932e-06 0.0491633 -0.0313998
0 -74 19 -1.90576 -0.000100079 0.000108586 -4.19169 0.00114818 0.000797275 -3.47387e-06 0.00894488 0.0384323 -2.81059e-06 0.0112858 0.00444936 -4.35338e-06 0.0459467 -0.0321767
0 -73.5 19 -1.92019 -0.000493563 -0.000386934 -4.05108 0.000663117 0.000570818 -2.66316e-07 0.00937207 0.0376037 3.33351e-06 0.0118227 0.00297129 -9.85583e-06 0.0421215 -0.0329454
0 -73 19 -1.93202 -0.000174824 0.00016046 -3.91113 0.00165382 0.000919161 -1.32309e-06 0.00969939 0.0368131 -6.25814e-07 0.0121392 0.00165069 -8.21004e-06 0.0387899 -0.0331086
0 -72.5 19 -1.93945 0.000212916 0.00022578 -3.77703 0.00153128 0.000435981 -8.10745e-06 0.0100195 0.0360737 -1.71504e-05 0.0124117 0.000480233 3.71275e-07 0.0358885 -0.0331559
0 -72 19 -1.94239 0.000599197 0.000337307 -3.64675 -8.61543e-05 -0.000963386 -9.24928e-06 0.0103212 0.0352943 -2.69706e-05 0.0126737 -0.00067644 1.49674e-05 0.0330443 -0.0331329
0 -71.5 19 -1.94195 -0.000619729 -0.000173175 -3.51969 -0.000354653 -0.000177004 1.51111e-06 0.0105608 0.0345291 3.44262e-06 0.012823 -0.00174448 -8.34073e-06 0.030457 -0.0328207
0 -71 19 -1.93934 0.000836985 -0.00086336 -3.39962 -0.000696818 0.002896 5.47593e-06 0.0107572 0.0338327 4.25925e-06 0.0128664 -0.00267979 1.10553e-06 0.0282515 -0.0323013
0 -70.5 19 -1.93388 0.000238794 -0.00130937 -3.2782 0.000964863 0.00113871 8.79621e-07 0.0109303 0.0330916 4.19552e-06 0.0128824 -0.00363499 2.01864e-06 0.0260395 -0.0316845
0 -70 19 -1.92525 -0.000453601 -0.000753145 -3.15965 -0.000490823 0.000612345 5.77689e-06 0.0110735 0.0323484 1.03467e-05 0.0128444 -0.00454416 -5.98408e-06 0.0239603 -0.0309515
0 -69.5 19 -1.9133 0.000173797 0.000316234 -3.04866 -0.000501869 0.00155078 5.14135e-06 0.01119 0.0316528 3.2294e-06 0.0128088 -0.00534521 -7.60921e-06 0.0221328 -0.0302297
0 -69 19 -1.90108 0.000665347 -0.000600447 -2.93725 -0.00209393 0.00129988 -7.34435e-08 0.0112781 0.030951 -4.40674e-06 0.0126718 -0.0061251 1.18594e-05 0.0204248 -0.0293305
0 -68.5 19 -1.8864 9.67698e-05 -0.000390218 -2.83002 -0.00125113 0.00338764 7.3899e-06 0.0113334 0.030268 -6.46128e-07 0.0125119 -0.00685727 -1.32275e-05 0.0188456 -0.0283941
0 -68 19 -1.86801 0.000254501 -3.94058e-05 -2.72642 -0.000161976 0.00205298 4.1571e-06 0.0113836 0.0295853 -1.50667e-06 0.0123855 -0.0075384 -8.11406e-06 0.0173563 -0.0275164
0 -67.5 19 -1.84893 -1.27589e-06 0.000192915 -2.62464 0.00210121 -0.000306628 -1.0866e-06 0.0114148 0.0289273 2.79554e-06 0.0122202 -0.00817854 -7.83835e-06 0.0160095 -0.0265895
0 -67 19 -1.82864 9.77429e-05 0.000878173 -2.52659 0.00164709 -0.0013203 -4.85459e-06 0.0114226 0.0282821 -2.19784e-06 0.0120168 -0.00878781 -2.93761e-06 0.0147573 -0.0256247
